units,lr,dropout,val_accuracy,val_loss,fitness,epochs_treinadas
512,0.000683889666574946,0.5062902082735418,0.8560000658035278,0.3518863916397095,0.14399993419647217,17
256,8.297035423080174e-05,0.37952223970900134,0.8040000200271606,0.41964033246040344,0.19599997997283936,30
128,2.4435366928162495e-05,0.46047333295667897,0.7900000214576721,0.5601894855499268,0.20999997854232788,30
128,3.3798461793116845e-05,0.6107615305774061,0.7740000486373901,0.5519371628761292,0.22599995136260986,30
256,0.0006672236640379547,0.6371220383730309,0.8340000510215759,0.3598903715610504,0.16599994897842407,19
256,2.752444319563921e-05,0.33925665970672414,0.8040000200271606,0.47121208906173706,0.19599997997283936,30
512,0.00021288619913927538,0.5991039084182146,0.8260000348091125,0.3746669888496399,0.17399996519088745,30
256,0.00038093206083631564,0.4053647134186153,0.8340000510215759,0.3835815489292145,0.16599994897842407,18
128,0.00032143094079440824,0.6239622464408192,0.8280000686645508,0.4103141725063324,0.17199993133544922,19
128,0.0006842338886860579,0.6041056759641865,0.8140000104904175,0.40708687901496887,0.18599998950958252,19
256,6.756656145384153e-05,0.4669319476601028,0.796000063419342,0.45413655042648315,0.20399993658065796,30
512,1.3867745973543209e-05,0.5202236654356215,0.7580000162124634,0.5722256302833557,0.24199998378753662,30
256,0.0002475694115507381,0.453898960118397,0.8200000524520874,0.41422319412231445,0.1799999475479126,17
512,0.001,0.598451275438872,0.8440000414848328,0.3578181564807892,0.15599995851516724,19
512,0.001,0.5289909704156435,0.8360000252723694,0.3656291663646698,0.16399997472763062,10
256,0.0003684820086458281,0.7,0.7940000295639038,0.48705270886421204,0.2059999704360962,30
128,0.001,0.6314434924173247,0.8220000267028809,0.40219855308532715,0.17799997329711914,23
512,0.00021726419603622875,0.45794006849476615,0.8140000104904175,0.4591405689716339,0.18599998950958252,30
256,0.00035341044054723776,0.7,0.8360000252723694,0.39266109466552734,0.16399997472763062,30
512,0.001,0.43691894400193015,0.8420000672340393,0.3510965406894684,0.1579999327659607,10
512,0.001,0.598451275438872,0.8220000267028809,0.4021376669406891,0.17799997329711914,15
512,0.000683889666574946,0.5062902082735418,0.8400000333786011,0.35903990268707275,0.15999996662139893,17
256,0.0007894028547371881,0.5052682401404524,0.8400000333786011,0.3868941366672516,0.15999996662139893,27
512,0.001,0.7,0.8360000252723694,0.3670584559440613,0.16399997472763062,15
256,0.0006118595567760213,0.5177057161853666,0.8440000414848328,0.3682488203048706,0.15599995851516724,25
256,0.001,0.6528039366413092,0.8420000672340393,0.36081141233444214,0.1579999327659607,26
512,0.00011824584906763799,0.572728301624505,0.8280000686645508,0.40092289447784424,0.17199993133544922,29
256,0.001,0.3846082546217371,0.8460000157356262,0.3616407811641693,0.15399998426437378,18
512,0.001,0.5777419587187766,0.8240000605583191,0.37984925508499146,0.1759999394416809,12
512,0.0001769828748297426,0.5266241402999545,0.8340000510215759,0.3703172206878662,0.16599994897842407,28
512,0.001,0.33935340826268634,0.8160000443458557,0.3768148422241211,0.1839999556541443,10
512,0.001,0.4659304998982898,0.8480000495910645,0.3526799976825714,0.15199995040893555,15
512,0.001,0.4659304998982898,0.8540000319480896,0.3547576069831848,0.1459999680519104,21
512,0.000683889666574946,0.5062902082735418,0.8400000333786011,0.370270311832428,0.15999996662139893,19
512,0.00048532433023378013,0.5030728585377628,0.8420000672340393,0.3641074597835541,0.1579999327659607,15
512,0.001,0.3581031554867318,0.8480000495910645,0.36328357458114624,0.15199995040893555,15
256,0.001,0.5360821739571191,0.8340000510215759,0.3843522071838379,0.16599994897842407,15
256,0.0001989382324482592,0.34063122929438006,0.8220000267028809,0.39824753999710083,0.17799997329711914,19
128,0.0002979456743945808,0.4235841219355853,0.8220000267028809,0.42094704508781433,0.17799997329711914,30
512,0.00012438510868692407,0.4597741176917288,0.8080000281333923,0.42525598406791687,0.19199997186660767,30
512,0.00033129500091928267,0.3558428229645028,0.8520000576972961,0.356465220451355,0.14799994230270386,17
512,0.001,0.35247494406988106,0.8240000605583191,0.40025973320007324,0.1759999394416809,11
128,0.0001826606566003138,0.4063514662031514,0.8140000104904175,0.4145325720310211,0.18599998950958252,26
128,0.0006353306181995983,0.5715425578066902,0.8480000495910645,0.33929818868637085,0.15199995040893555,25
512,0.00033129500091928267,0.3558428229645028,0.8500000238418579,0.35943710803985596,0.1499999761581421,22
512,0.001,0.4659304998982898,0.8480000495910645,0.3725014626979828,0.15199995040893555,15
256,0.0004748408823532469,0.4304392653603814,0.8460000157356262,0.34317755699157715,0.15399998426437378,19
512,0.001,0.42160566272274297,0.8240000605583191,0.38078537583351135,0.1759999394416809,14
128,0.000547253372451747,0.34185248583032246,0.8480000495910645,0.3807251751422882,0.15199995040893555,18
128,0.00031066971268517185,0.4440222271294713,0.796000063419342,0.43378186225891113,0.20399993658065796,18
128,0.0001379348049186313,0.43860144529441786,0.8140000104904175,0.4039519131183624,0.18599998950958252,26
512,0.0007969344112640523,0.40739003101510046,0.8440000414848328,0.3794232904911041,0.15599995851516724,18
256,0.001,0.36159061729481806,0.8400000333786011,0.3718472719192505,0.15999996662139893,16
256,0.001,0.3948466976746683,0.8380000591278076,0.36589688062667847,0.16199994087219238,14
256,0.001,0.40620769162825315,0.8360000252723694,0.3757176697254181,0.16399997472763062,20
512,0.0007368868066279497,0.4618442257115519,0.8460000157356262,0.3773897886276245,0.15399998426437378,18
128,0.000547253372451747,0.34185248583032246,0.8200000524520874,0.38145411014556885,0.1799999475479126,23
512,0.00033129500091928267,0.3558428229645028,0.8300000429153442,0.38283875584602356,0.16999995708465576,19
512,9.248365156544133e-05,0.40028206888823187,0.8180000185966492,0.4039479196071625,0.18199998140335083,26
256,0.001,0.41701302397560075,0.8560000658035278,0.3661477565765381,0.14399993419647217,18
256,0.0005391911603618782,0.4512587632387853,0.8300000429153442,0.38915273547172546,0.16999995708465576,16
128,0.001,0.44396261121855596,0.8280000686645508,0.38864126801490784,0.17199993133544922,23
128,0.0005433135514627973,0.4081981775669216,0.8280000686645508,0.41410282254219055,0.17199993133544922,21
128,0.001,0.37829668683089135,0.8240000605583191,0.38557949662208557,0.1759999394416809,16
256,0.000968341298314702,0.34045477901587173,0.8420000672340393,0.371818482875824,0.1579999327659607,18
256,0.00040250529319032623,0.4338608906047062,0.8180000185966492,0.3930337727069855,0.18199998140335083,15
256,0.0006562383510303368,0.4163474446696726,0.8380000591278076,0.36704781651496887,0.16199994087219238,16
512,0.0008543059994748127,0.43186224832732695,0.8580000400543213,0.3481684625148773,0.1419999599456787,18
512,0.0008543059994748127,0.43186224832732695,0.8400000333786011,0.37570348381996155,0.15999996662139893,13
512,0.00033129500091928267,0.3558428229645028,0.8460000157356262,0.36875754594802856,0.15399998426437378,13
256,0.00017452592075875106,0.415768721447477,0.8320000171661377,0.3793259263038635,0.1679999828338623,26
256,0.001,0.3761072494390895,0.8420000672340393,0.35102447867393494,0.1579999327659607,14
256,0.0005296561002130254,0.39088853600127904,0.8080000281333923,0.4016278088092804,0.19199997186660767,16
512,0.001,0.4108738745373973,0.8380000591278076,0.38406285643577576,0.16199994087219238,15
256,0.0004330062374117834,0.3867904065372639,0.8300000429153442,0.371250182390213,0.16999995708465576,20
256,0.0005866882491485674,0.4089223455270549,0.8320000171661377,0.36559340357780457,0.1679999828338623,15
512,0.0006639216477921323,0.46180650443209337,0.8420000672340393,0.3519413471221924,0.1579999327659607,19
256,0.001,0.41019381274348593,0.8440000414848328,0.38773953914642334,0.15599995851516724,18
512,0.001,0.38327589536300677,0.8420000672340393,0.37108153104782104,0.1579999327659607,18
512,0.001,0.42397908210584934,0.8180000185966492,0.4108368456363678,0.18199998140335083,10
256,0.001,0.41019381274348593,0.8440000414848328,0.3666519820690155,0.15599995851516724,14
512,0.00033129500091928267,0.3558428229645028,0.8480000495910645,0.3669297397136688,0.15199995040893555,22
256,0.0004968748201083145,0.4036936701428047,0.8460000157356262,0.3622061014175415,0.15399998426437378,20
512,0.001,0.3783019931951559,0.8260000348091125,0.3901578485965729,0.17399996519088745,10
256,0.001,0.4022632359449539,0.8520000576972961,0.33562564849853516,0.14799994230270386,18
256,0.001,0.38725927611544,0.8540000319480896,0.3803205192089081,0.1459999680519104,21
256,0.0006287699145374962,0.3860766156661565,0.8260000348091125,0.38277214765548706,0.17399996519088745,17
512,0.001,0.4069532379539395,0.8380000591278076,0.35670873522758484,0.16199994087219238,14
256,0.00035160097146881965,0.48311405925409157,0.8140000104904175,0.40446481108665466,0.18599998950958252,17
512,0.0005090257134177997,0.4315561400998452,0.8340000510215759,0.37186139822006226,0.16599994897842407,13
512,0.0006931507791314767,0.46135941255152446,0.8600000143051147,0.36089009046554565,0.13999998569488525,16
256,0.0005534391345147986,0.406624049700418,0.8340000510215759,0.3792223334312439,0.16599994897842407,15
512,0.0006931507791314767,0.46135941255152446,0.8260000348091125,0.37074407935142517,0.17399996519088745,12
512,0.00033129500091928267,0.3558428229645028,0.8420000672340393,0.36565694212913513,0.1579999327659607,17
