units,lr,dropout,val_accuracy,val_loss,fitness,epochs_treinadas
128,1e-05,0.3,0.8460000157356262,0.38595640659332275,0.15399998426437378,30
128,3e-05,0.3,0.8960000276565552,0.28813764452934265,0.10399997234344482,30
128,0.0001,0.3,0.8980000615119934,0.23536813259124756,0.10199993848800659,30
128,0.0003,0.3,0.9120000600814819,0.2050241231918335,0.08799993991851807,30
128,0.001,0.3,0.9100000262260437,0.21047982573509216,0.0899999737739563,20
128,0.003,0.3,0.8960000276565552,0.22831600904464722,0.10399997234344482,16
128,0.01,0.3,0.8740000128746033,0.26844215393066406,0.12599998712539673,14
128,1e-05,0.4,0.8480000495910645,0.4091244339942932,0.15199995040893555,30
128,3e-05,0.4,0.8760000467300415,0.31060096621513367,0.1239999532699585,30
128,0.0001,0.4,0.9080000519752502,0.2223263680934906,0.09199994802474976,30
128,0.0003,0.4,0.9240000247955322,0.19656458497047424,0.07599997520446777,30
128,0.001,0.4,0.9260000586509705,0.19736945629119873,0.07399994134902954,24
128,0.003,0.4,0.9140000343322754,0.2196154147386551,0.08599996566772461,23
128,0.01,0.4,0.8520000576972961,0.33215877413749695,0.14799994230270386,9
128,1e-05,0.5,0.8220000267028809,0.4426214098930359,0.17799997329711914,30
128,3e-05,0.5,0.8820000290870667,0.3233027160167694,0.11799997091293335,30
128,0.0001,0.5,0.9040000438690186,0.22979994118213654,0.09599995613098145,30
128,0.0003,0.5,0.9140000343322754,0.20074525475502014,0.08599996566772461,30
128,0.001,0.5,0.9260000586509705,0.21104314923286438,0.07399994134902954,30
128,0.003,0.5,0.9020000696182251,0.2164515256881714,0.0979999303817749,20
128,0.01,0.5,0.89000004529953,0.2749910056591034,0.10999995470046997,30
128,1e-05,0.6,0.8400000333786011,0.44248145818710327,0.15999996662139893,30
128,3e-05,0.6,0.8760000467300415,0.3258254826068878,0.1239999532699585,30
128,0.0001,0.6,0.9000000357627869,0.24383877217769623,0.09999996423721313,30
128,0.0003,0.6,0.9080000519752502,0.21513071656227112,0.09199994802474976,30
128,0.001,0.6,0.9160000681877136,0.22908376157283783,0.08399993181228638,30
128,0.003,0.6,0.9080000519752502,0.2458960860967636,0.09199994802474976,30
128,0.01,0.6,0.8280000686645508,0.3944461941719055,0.17199993133544922,10
128,1e-05,0.7,0.8140000104904175,0.4937141537666321,0.18599998950958252,30
128,3e-05,0.7,0.8380000591278076,0.3589034080505371,0.16199994087219238,30
128,0.0001,0.7,0.9000000357627869,0.257083535194397,0.09999996423721313,30
128,0.0003,0.7,0.9140000343322754,0.21688716113567352,0.08599996566772461,30
128,0.001,0.7,0.9040000438690186,0.22514577209949493,0.09599995613098145,30
128,0.003,0.7,0.8840000629425049,0.25085577368736267,0.11599993705749512,30
128,0.01,0.7,0.8520000576972961,0.4387567639350891,0.14799994230270386,28
256,1e-05,0.3,0.8560000658035278,0.35897645354270935,0.14399993419647217,30
256,3e-05,0.3,0.89000004529953,0.26943013072013855,0.10999995470046997,30
256,0.0001,0.3,0.9160000681877136,0.21292744576931,0.08399993181228638,30
256,0.0003,0.3,0.9140000343322754,0.20562177896499634,0.08599996566772461,28
256,0.001,0.3,0.9140000343322754,0.21671150624752045,0.08599996566772461,13
256,0.003,0.3,0.9020000696182251,0.2130182683467865,0.0979999303817749,16
256,0.01,0.3,0.8940000534057617,0.24348312616348267,0.10599994659423828,16
256,1e-05,0.4,0.8580000400543213,0.3669789731502533,0.1419999599456787,30
256,3e-05,0.4,0.8820000290870667,0.2800314426422119,0.11799997091293335,30
256,0.0001,0.4,0.9080000519752502,0.21049080789089203,0.09199994802474976,30
256,0.0003,0.4,0.9240000247955322,0.19274765253067017,0.07599997520446777,29
256,0.001,0.4,0.9300000667572021,0.20420801639556885,0.06999993324279785,29
256,0.003,0.4,0.9120000600814819,0.21817637979984283,0.08799993991851807,24
256,0.01,0.4,0.9020000696182251,0.247315913438797,0.0979999303817749,30
256,1e-05,0.5,0.8540000319480896,0.3950221538543701,0.1459999680519104,30
256,3e-05,0.5,0.8760000467300415,0.3002224266529083,0.1239999532699585,30
256,0.0001,0.5,0.9100000262260437,0.2136266529560089,0.0899999737739563,30
256,0.0003,0.5,0.9200000166893005,0.18826530873775482,0.07999998331069946,30
256,0.001,0.5,0.9080000519752502,0.20871476829051971,0.09199994802474976,23
256,0.003,0.5,0.9100000262260437,0.22135429084300995,0.0899999737739563,22
256,0.01,0.5,0.8680000305175781,0.30715513229370117,0.13199996948242188,12
256,1e-05,0.6,0.8460000157356262,0.42231884598731995,0.15399998426437378,30
256,3e-05,0.6,0.8860000371932983,0.3000032603740692,0.11399996280670166,30
256,0.0001,0.6,0.906000018119812,0.22830896079540253,0.09399998188018799,30
256,0.0003,0.6,0.9140000343322754,0.2032475769519806,0.08599996566772461,30
256,0.001,0.6,0.9100000262260437,0.21279765665531158,0.0899999737739563,29
256,0.003,0.6,0.9180000424385071,0.2092253714799881,0.08199995756149292,30
256,0.01,0.6,0.8240000605583191,0.3617134094238281,0.1759999394416809,16
256,1e-05,0.7,0.8400000333786011,0.4389897286891937,0.15999996662139893,30
256,3e-05,0.7,0.8680000305175781,0.3216956555843353,0.13199996948242188,30
256,0.0001,0.7,0.89000004529953,0.24551185965538025,0.10999995470046997,30
256,0.0003,0.7,0.9100000262260437,0.20912903547286987,0.0899999737739563,30
256,0.001,0.7,0.9080000519752502,0.2199779748916626,0.09199994802474976,30
256,0.003,0.7,0.8920000195503235,0.24125875532627106,0.10799998044967651,21
256,0.01,0.7,0.7920000553131104,0.4262405037879944,0.20799994468688965,10
